year,county,zone_label,zone_code,seats,min_win_votes,min_win_cand,min_win_party,max_lose_votes,max_lose_cand,margin,n_cand
2018,桃園市,桃園市第07選區,68000-07,11,9712,張運炳,無黨籍,9508,葉明月,204,21
2014,桃園市,桃園市第08選區,68000-08,6,7766,莊玉輝,無黨籍,7459,陳萬得,307,19
2018,桃園市,桃園市第08選區,68000-08,6,9833,莊玉輝,無黨籍,9792,謝彰文,41,12
2014,桃園市,桃園市第09選區,68000-09,4,13875,李家興,中國國民黨,5916,陳秀玲,7959,8
2018,桃園市,桃園市第09選區,68000-09,4,9999,鄭淑方,民主進步黨,8216,陳儀桓,1783,10
2014,桃園市,桃園市第10選區,68000-10,3,8680,閻中傑,中國國民黨,8229,劉熒隆,451,9
2018,桃園市,桃園市第10選區,68000-10,3,11046,劉熒隆,無黨籍,9843,張肇良,1203,9
2014,桃園市,桃園市第11選區,68000-11,1,13664,邱佳亮,無黨籍,13380,陳睿生,284,2
2018,桃園市,桃園市第11選區,68000-11,1,11950,邱佳亮,無黨籍,10057,陳睿生,1893,3
2014,桃園市,桃園市第12選區,68000-12,2,11347,歐炳辰,無黨籍,9161,吳宗憲,2186,4
2018,桃園市,桃園市第12選區,68000-12,2,7716,吳宗憲,民主進步黨,7047,郭蔡美英,669,5
2022,澎湖縣,澎湖縣 七美鄉,,1,1074,張仁和,無黨籍,932,夏晨榮,142,2
2022,澎湖縣,澎湖縣 望安鄉,,1,2697,陳佩真,無黨籍,,,,1
2022,澎湖縣,澎湖縣 湖西鄉,,3,1740,蔡清續,民主進步黨,925,廖璟華,815,4
2022,澎湖縣,澎湖縣 白沙鄉,,2,2120,魏睿宏,無黨籍,,,,2
2022,澎湖縣,澎湖縣 西嶼鄉,,1,2419,許月里,無黨籍,1365,薛雲鴻,1054,2
2022,澎湖縣,澎湖縣 馬公市,,11,1546,呂黃春金,民主進步黨,1521,莊光大,25,18
2014,澎湖縣,澎湖縣第01選區,10016-01,11,1645,呂黃春金,民主進步黨,1583,蘇陳綉色,62,19
2018,澎湖縣,澎湖縣第01選區,10016-01,11,1280,呂黃春金,民主進步黨,1189,陳慧娟,91,22
2014,澎湖縣,澎湖縣第02選區,10016-02,3,1797,歐陽洲,無黨籍,1348,蔡清續,449,4
2018,澎湖縣,澎湖縣第02選區,10016-02,3,1607,蔡清續,民主進步黨,1422,陳進兩,185,5
2014,澎湖縣,澎湖縣第03選區,10016-03,2,1883,魏長源,無黨籍,877,許龍聰,1006,4
2018,澎湖縣,澎湖縣第03選區,10016-03,2,1664,魏長源,無黨籍,1184,陳定國,480,4
2014,澎湖縣,澎湖縣第04選區,10016-04,1,2984,楊石龍,無黨籍,,,,1
2018,澎湖縣,澎湖縣第04選區,10016-04,1,3306,李添進,無黨籍,512,林玄立,2794,2
2014,澎湖縣,澎湖縣第05選區,10016-05,1,1340,葉明縣,無黨籍,1189,陳佩真,151,3
2018,澎湖縣,澎湖縣第05選區,10016-05,1,2015,陳佩真,無黨籍,647,鐘順祥,1368,3
2014,澎湖縣,澎湖縣第06選區,10016-06,1,995,呂啟宗,無黨籍,977,夏晨榮,18,2
2018,澎湖縣,澎湖縣第06選區,10016-06,1,996,夏晨榮,無黨籍,910,張仁和,86,2
2022,臺中市,臺中市 中區・西區,,3,13646,江肇國,民主進步黨,9285,林京玲,4361,7
2022,臺中市,臺中市 北區,,3,16574,陳文政,中國國民黨,11643,賴佳微,4931,5
2022,臺中市,臺中市 北屯區,,6,12792,賴順仁,中國國民黨,10195,蔡雅玲,2597,12
2022,臺中市,臺中市 南區・東區,,5,11136,林霈涵,中國國民黨,10751,何昆霖,385,11
2022,臺中市,臺中市 南屯區,,4,13869,劉士州,中國國民黨,12416,張耀中,1453,7
2022,臺中市,臺中市 后里區・豐原區,,5,10717,張瀞分,中國國民黨,10046,廖芝晏,671,11
2022,臺中市,臺中市 和平區・新社區・東勢區・石岡區,,2,11295,蔡成圭,民主進步黨,7956,冉齡軒,3339,5
2022,臺中市,臺中市 外埔區・大安區・大甲區,,3,15214,李文傑,中國國民黨,12144,吳敏濟,3070,4
2022,臺中市,臺中市 大肚區・烏日區・龍井區,,5,13421,曾威,民主進步黨,4930,魏嘉慶,8491,9
2022,臺中市,臺中市 大里區・霧峰區,,6,12362,蘇柏興,中國國民黨,11939,張滄沂,423,14
2022,臺中市,臺中市 大雅區・潭子區・神岡區,,6,16488,徐瑄灃,無黨籍,10116,張睿倉,6372,12
2022,臺中市,臺中市 太平區,,4,13078,蔡耀頡,民主進步黨,6810,葉諾凡,6268,7
2022,臺中市,臺中市 梧棲區・沙鹿區・清水區,,5,15305,陳廷秀,無黨籍,12344,尤碧鈴,2961,9
2022,臺中市,臺中市 西屯區,,5,11560,張廖乃綸,中國國民黨,7702,曾崇芳,3858,8
2014,臺中市,臺中市第01選區,66000-01,3,15031,李榮鴻,中國國民黨,13763,林素眞,1268,5
2018,臺中市,臺中市第01選區,66000-01,3,18013,施志昌,民主進步黨,14373,楊啓邦,3640,5
2014,臺中市,臺中市第02選區,66000-02,5,15920,尤碧鈴,無黨籍,15806,陳詩哲,114,9
2018,臺中市,臺中市第02選區,66000-02,5,16416,陳廷秀,無黨籍,14616,王立任,1800,9
2014,臺中市,臺中市第03選區,66000-03,5,16451,黃錫嘉,無黨籍,14696,劉淑蘭,1755,7
2018,臺中市,臺中市第03選區,66000-03,5,13007,陳世凱,民主進步黨,5819,林國佑,7188,9
2014,臺中市,臺中市第04選區,66000-04,5,13642,陳本添,中國國民黨,13486,王朝坤,156,7
2018,臺中市,臺中市第04選區,66000-04,5,13855,王朝坤,無黨籍,12670,翁美春,1185,9
2014,臺中市,臺中市第05選區,66000-05,6,15295,張立傑,無黨籍,13736,廖述鎮,1559,9
2018,臺中市,臺中市第05選區,66000-05,6,13744,周永鴻,民主進步黨,12041,林義偉,1703,10
2014,臺中市,臺中市第06選區,66000-06,5,12927,張廖乃綸,中國國民黨,6599,李孝儒,6328,8
2018,臺中市,臺中市第06選區,66000-06,5,13930,林祈烽,民主進步黨,7260,簡嘉佑,6670,8
2014,臺中市,臺中市第07選區,66000-07,4,11571,朱暖英,中國國民黨,11213,丁振嘉,358,9
2018,臺中市,臺中市第07選區,66000-07,4,11555,何文海,民主進步黨,11546,吳佩芸,9,7
2014,臺中市,臺中市第08選區,66000-08,6,16192,陳成添,中國國民黨,8498,邱于珊,7694,8
2018,臺中市,臺中市第08選區,66000-08,6,11450,謝明源,民主進步黨,9761,蔡雅玲,1689,16
2014,臺中市,臺中市第09選區,66000-09,3,18082,陳政顯,中國國民黨,14659,陳天汶,3423,6
2018,臺中市,臺中市第09選區,66000-09,3,15263,賴佳微,民主進步黨,11419,范淞育,3844,7
2014,臺中市,臺中市第10選區,66000-10,3,14729,黃國書,民主進步黨,12106,洪嘉鴻,2623,6
2018,臺中市,臺中市第10選區,66000-10,3,13198,黃守達,民主進步黨,10517,陳駿霖,2681,7
2014,臺中市,臺中市第11選區,66000-11,4,15035,鄭功進,民主進步黨,14274,林珮涵,761,9
2018,臺中市,臺中市第11選區,66000-11,5,10652,何敏誠,民主進步黨,9579,賴曉亭,1073,11
2014,臺中市,臺中市第12選區,66000-12,4,14286,何明杰,民主進步黨,9411,陳展群,4875,7
2018,臺中市,臺中市第12選區,66000-12,4,13956,蔡耀頡,民主進步黨,8946,黃文生,5010,7
2014,臺中市,臺中市第13選區,66000-13,6,13417,林碧秀,中國國民黨,13030,謝賢,387,12
2018,臺中市,臺中市第13選區,66000-13,6,12985,段緯宇,親民黨,10915,張芬郁,2070,10
2014,臺中市,臺中市第14選區,66000-14,2,18258,蘇慶雲,中國國民黨,16206,冉齡軒,2052,3
2018,臺中市,臺中市第14選區,66000-14,2,13209,蔡成圭,民主進步黨,12666,王綉滿,543,4
2022,臺北市,臺北市 中山區・大同區,,8,13817,林亮君,無黨籍,12919,梁文傑,898,13
2022,臺北市,臺北市 中正區・萬華區,,8,14518,劉耀仁,民主進步黨,13368,吳怡萱,1150,18
2022,臺北市,臺北市 信義區・松山區,,9,15082,洪健益,民主進步黨,14686,吳崢,396,16
2022,臺北市,臺北市 內湖區・南港區,,9,11576,吳世正,中國國民黨,10186,吳欣岱,1390,13
2022,臺北市,臺北市 北投區・士林區,,12,13606,陳重文,中國國民黨,13150,林瑞圖,456,25
2022,臺北市,臺北市 大安區・文山區,,13,10693,張志豪,台灣民眾黨,9081,高揚凱,1612,27
2014,臺北市,臺北市第01選區,63000-01,13,12334,林世宗,民主進步黨,11451,黃平洋,883,21
2018,臺北市,臺北市第01選區,63000-01,13,13166,陳建銘,無黨籍,12737,陳賢蔚,429,23
2014,臺北市,臺北市第02選區,63000-02,9,14592,江志銘,民主進步黨,9910,趙家蓉,4682,14
2018,臺北市,臺北市第02選區,63000-02,9,12588,李建昌,民主進步黨,11780,王孝維,808,15
2014,臺北市,臺北市第03選區,63000-03,10,13825,陳永德,中國國民黨,11639,楊世光,2186,17
2018,臺北市,臺北市第03選區,63000-03,10,11786,邱威傑,無黨籍,11501,王正德,285,21
2014,臺北市,臺北市第04選區,63000-04,8,13125,林國成,親民黨,12717,王麗珠,408,14
2018,臺北市,臺北市第04選區,63000-04,8,14706,林國成,親民黨,14471,顏若芳,235,18
2014,臺北市,臺北市第05選區,63000-05,8,14987,鍾小平,中國國民黨,9965,林佳諭,5022,15
2018,臺北市,臺北市第05選區,63000-05,8,13268,周威佑,民主進步黨,13090,顏聖冠,178,19
2014,臺北市,臺北市第06選區,63000-06,13,15302,陳彥伯,新黨,14115,王致雅,1187,22
2018,臺北市,臺北市第06選區,63000-06,13,11762,阮昭雄,民主進步黨,11268,李慶鋒,494,25
2022,臺南市,臺南市 七股區・佳里區・北門區・學甲區…,,5,11836,蔡秋蘭,民主進步黨,5808,黄建昌,6028,7
2022,臺南市,臺南市 下營區・六甲區・大內區・官田區…,,3,13493,吳通龍,民主進步黨,12929,郭秀珠,564,6
2022,臺南市,臺南市 中西區・北區,,6,8925,周嘉韋,民主進步黨,5201,高凱旋,3724,10
2022,臺南市,臺南市 仁德區・歸仁區・關廟區・龍崎區,,5,11926,陳皇宇,民主進步黨,11348,許又仁,578,8
2022,臺南市,臺南市 南化區・左鎮區・楠西區・玉井區,,1,12475,周奕齊,無黨籍,6676,陳福慶,5799,2
2022,臺南市,臺南市 南區・安平區,,6,7824,周麗津,民主進步黨,6804,呂維胤,1020,11
2022,臺南市,臺南市 善化區・安定區・山上區・新化區…,,5,9772,陳碧玉,民主進步黨,8028,廖俊道,1744,9
2022,臺南市,臺南市 安南區,,6,8841,黃麗招,無黨籍,8420,王錦德,421,14
2022,臺南市,臺南市 後壁區・新營區・東山區・柳營區…,,6,9055,沈家鳳,民主進步黨,9446,劉米山,-391,9
2022,臺南市,臺南市 東區,,5,8484,李宗霖,台灣基進,8301,陳金鐘,183,10
2022,臺南市,臺南市 永康區,,7,7248,楊中成,台灣團結聯盟,7084,陳世霖,164,15
2014,臺南市,臺南市第01選區,67000-01,2,10583,賴美惠,民主進步黨,10668,劉米山,-85,3
2018,臺南市,臺南市第01選區,67000-01,6,12489,趙昆原,無黨籍,11821,賴惠員,668,10
2014,臺南市,臺南市第02選區,67000-02,4,10123,李退之,民主進步黨,9375,陳佳琪,748,6
2018,臺南市,臺南市第02選區,67000-02,5,9408,蔡秋蘭,無黨籍,8587,陳朝來,821,10
2014,臺南市,臺南市第03選區,67000-03,2,8074,侯澄財,民主進步黨,6276,陳進財,1798,3
2018,臺南市,臺南市第03選區,67000-03,3,15991,尤榮智,中國國民黨,14681,郭秀珠,1310,4
2014,臺南市,臺南市第04選區,67000-04,3,8508,陳文賢,民主進步黨,9828,尤榮智,-1320,5
2018,臺南市,臺南市第04選區,67000-04,1,9929,周奕齊,無黨籍,6304,王開玹,3625,4
2014,臺南市,臺南市第05選區,67000-05,3,10599,陳朝來,民主進步黨,9765,方一峰,834,5
2018,臺南市,臺南市第05選區,67000-05,5,9481,林志聰,民主進步黨,8862,黃俊勝,619,10
2014,臺南市,臺南市第06選區,67000-06,2,10900,梁順發,民主進步黨,11496,李文俊,-596,3
2018,臺南市,臺南市第06選區,67000-06,6,7601,王錦德,民主進步黨,7669,唐儀靜,-68,10
2014,臺南市,臺南市第07選區,67000-07,2,11250,林全忠,中國國民黨,9032,姚溪海,2218,3
2018,臺南市,臺南市第07選區,67000-07,7,8418,陳秋萍,民主進步黨,8122,陳世霖,296,15
2014,臺南市,臺南市第08選區,67000-08,1,11726,李全教,中國國民黨,10370,王峻潭,1356,2
2018,臺南市,臺南市第08選區,67000-08,6,9355,洪玉鳳,中國國民黨,6461,唐碧娥,2894,11
2014,臺南市,臺南市第09選區,67000-09,8,11569,林阳乙,無黨籍,10254,施重男,1315,11
2018,臺南市,臺南市第09選區,67000-09,6,7535,呂維胤,民主進步黨,6573,林士傑,962,12
2014,臺南市,臺南市第10選區,67000-10,5,10783,李中岑,中國國民黨,9730,黃麗招,1053,9
2018,臺南市,臺南市第10選區,67000-10,5,7218,蔡旺詮,民主進步黨,6703,李宗霖,515,11
2014,臺南市,臺南市第11選區,67000-11,4,6318,許至椿,中國國民黨,5415,李宗富,903,6
2018,臺南市,臺南市第11選區,67000-11,5,8732,郭鴻儀,民主進步黨,8400,劉正昌,332,10
2014,臺南市,臺南市第12選區,67000-12,2,5262,洪玉鳳,中國國民黨,,,,2
2014,臺南市,臺南市第13選區,67000-13,2,7243,盧崑福,中國國民黨,,,,2
2014,臺南市,臺南市第14選區,67000-14,6,9691,王家貞,中國國民黨,8721,陳文科,970,9
2014,臺南市,臺南市第15選區,67000-15,4,9325,莊玉珠,民主進步黨,8492,周明德,833,6
2014,臺南市,臺南市第16選區,67000-16,5,13076,張伯祿,無黨籍,13206,吳禹寰,-130,7
2022,臺東縣,臺東縣 卑南鄉・延平鄉,,1,3442,楊招信,中國國民黨,2643,許文獻,799,2
2022,臺東縣,臺東縣 大武鄉・太麻里鄉・達仁鄉・金峰鄉,,1,3040,翁麗吟,中國國民黨,1505,林曉彤,1535,2
2022,臺東縣,臺東縣 成功鎮・東河鄉・長濱鄉,,2,3096,林東滿,中國國民黨,,,,2
2022,臺東縣,臺東縣 池上鄉・海端鄉・關山鎮・鹿野鄉,,2,2737,潘貴蘭,無黨籍,2226,戴文達,511,6
2022,臺東縣,臺東縣 綠島鄉,,1,677,王姷力,無黨籍,648,李數奼,29,4
2022,臺東縣,臺東縣 臺東市・蘭嶼鄉,,10,2405,簡維國,民主進步黨,2342,劉秋美,63,19
2014,臺東縣,臺東縣第01選區,10014-01,10,2485,陳志峰,無黨籍,2364,王飛龍,121,17
2018,臺東縣,臺東縣第01選區,10014-01,10,2145,林參天,無黨籍,1912,劉秋美,233,22
2014,臺東縣,臺東縣第02選區,10014-02,1,5156,張卓然,中國國民黨,,,,1
2018,臺東縣,臺東縣第02選區,10014-02,1,3290,郭宗益,中國國民黨,2859,張卓然,431,2
2014,臺東縣,臺東縣第03選區,10014-03,2,3118,林東滿,中國國民黨,,,,2
2018,臺東縣,臺東縣第03選區,10014-03,2,2383,林東滿,中國國民黨,1174,李杰,1209,4
2014,臺東縣,臺東縣第04選區,10014-04,2,3951,陳宏宗,中國國民黨,2906,李振源,1045,3
2018,臺東縣,臺東縣第04選區,10014-04,2,3746,黃瑞華,中國國民黨,2564,林金樺,1182,3
2014,臺東縣,臺東縣第05選區,10014-05,1,3303,翁麗吟,中國國民黨,2819,張順福,484,2
2018,臺東縣,臺東縣第05選區,10014-05,1,3275,翁麗吟,中國國民黨,2150,程正俊,1125,2
2014,臺東縣,臺東縣第06選區,10014-06,1,1304,謝賢裕,中國國民黨,1166,陳照隆,138,2
2018,臺東縣,臺東縣第06選區,10014-06,1,1576,李數奼,中國國民黨,648,林為德,928,2
2022,花蓮縣,花蓮縣 光復鄉・吉安鄉・壽豐鄉・萬榮鄉…,,9,2615,張正治,中國國民黨,2071,陳慶元,544,15
2022,花蓮縣,花蓮縣 卓溪鄉・富里鄉・玉里鎮・瑞穗鄉,,3,3291,鍾素政,中國國民黨,2472,陳志明,819,5
2022,花蓮縣,花蓮縣 新城鄉・秀林鄉,,2,2754,邱光明,中國國民黨,1448,陳財能,1306,3
2022,花蓮縣,花蓮縣 花蓮市,,9,2561,傅國淵,台灣民眾黨,2461,林宗昆,100,12
2014,花蓮縣,花蓮縣第01選區,10015-01,9,2524,施慧萍,中國國民黨,2378,楊華美,146,13
2018,花蓮縣,花蓮縣第01選區,10015-01,9,2726,施金樹,民主進步黨,2540,莊枝財,186,17
2014,花蓮縣,花蓮縣第02選區,10015-02,2,3630,賴進坤,中國國民黨,,,,2
2018,花蓮縣,花蓮縣第02選區,10015-02,2,2422,邱光明,中國國民黨,2220,錢自立,202,4
2014,花蓮縣,花蓮縣第03選區,10015-03,9,3793,游美雲,民主進步黨,3759,吳建志,34,14
2018,花蓮縣,花蓮縣第03選區,10015-03,9,3887,吳建志,中國國民黨,3537,游美雲,350,14
2014,花蓮縣,花蓮縣第04選區,10015-04,3,3745,王燕美,無黨籍,3043,蔡秋龍,702,6
2018,花蓮縣,花蓮縣第04選區,10015-04,3,3307,王燕美,無黨籍,3220,黃文成,87,6
2022,苗栗縣,苗栗縣 三灣鄉・南庄鄉・頭份市,,8,2368,蕭詠萱,無黨籍,2986,鄭聚然,-618,21
2022,苗栗縣,苗栗縣 三義鄉・西湖鄉・銅鑼鄉,,3,4657,黃芳椿,中國國民黨,3291,吳昌運,1366,5
2022,苗栗縣,苗栗縣 公館鄉・苗栗市・頭屋鄉,,9,4715,鄭碧玉,中國國民黨,4563,楊喬安,152,16
2022,苗栗縣,苗栗縣 卓蘭鎮・大湖鄉・泰安鄉・獅潭鄉,,2,5380,楊恭林,無黨籍,5335,胡娘妹,45,4
2022,苗栗縣,苗栗縣 後龍鎮・竹南鎮・造橋鄉,,9,4424,廖英利,無黨籍,4008,謝端容,416,14
2022,苗栗縣,苗栗縣 苑裡鎮・通霄鎮,,5,5185,周玉滿,無黨籍,3525,劉寶鈴,1660,8
2014,苗栗縣,苗栗縣第01選區,10005-01,9,5378,湯維岳,無黨籍,4943,胡忠勇,435,16
2018,苗栗縣,苗栗縣第01選區,10005-01,9,5214,謝文禓,無黨籍,4794,許櫻萍,420,15
2014,苗栗縣,苗栗縣第02選區,10005-02,3,5556,黎旭欽,中國國民黨,4465,羅貴星,1091,5
2018,苗栗縣,苗栗縣第02選區,10005-02,3,5668,韓茂賢,無黨籍,4526,黎旭欽,1142,4
2014,苗栗縣,苗栗縣第03選區,10005-03,5,6473,李聰祥,無黨籍,5694,呂木鈿,779,7
2018,苗栗縣,苗栗縣第03選區,10005-03,5,4747,鄭宗國,民主進步黨,4418,孟文源,329,10
2014,苗栗縣,苗栗縣第04選區,10005-04,9,4496,謝芳紋,民主進步黨,4105,劉順松,391,16
2018,苗栗縣,苗栗縣第04選區,10005-04,9,4718,劉順松,民主進步黨,4600,黃聲全,118,16
2014,苗栗縣,苗栗縣第05選區,10005-05,7,4976,邱秋琴,無黨籍,4602,鍾福貴,374,11
2018,苗栗縣,苗栗縣第05選區,10005-05,7,3746,陳光軒,民主進步黨,3432,李貴富,314,17
2014,苗栗縣,苗栗縣第06選區,10005-06,3,5978,徐欽鴻,無黨籍,5412,楊慶汶,566,4
2018,苗栗縣,苗栗縣第06選區,10005-06,2,8172,楊恭林,無黨籍,6413,陳春暖,1759,3
2022,連江縣,連江縣 北竿鄉,,2,2094,陳玉發,中國國民黨,1590,陳如嵐,504,3
2022,連江縣,連江縣 南竿鄉,,5,1240,陳書建,中國國民黨,1406,林惠萍,-166,8
2022,連江縣,連江縣 東引鄉,,1,1034,張永江,中國國民黨,892,馮印才,142,2
2022,連江縣,連江縣 莒光鄉,,1,1550,陳貽斌,中國國民黨,774,陳善澔,776,2
2018,連江縣,連江縣第01選區,09007-01,5,132,林惠萍,中國國民黨,134,林貽祥,-2,7
2018,連江縣,連江縣第01選區,09007-01,1,532,曹爾章,中國國民黨,,,,1
2018,連江縣,連江縣第01選區,09007-01,1,303,林惠萍,中國國民黨,,,,1
2018,連江縣,連江縣第02選區,09007-02,1,554,陳玉發,中國國民黨,,,,1
2018,連江縣,連江縣第02選區,09007-02,1,506,周瑞國,中國國民黨,,,,1
2018,連江縣,連江縣第03選區,09007-03,1,559,王孝榛,無黨籍,,,,1
2018,連江縣,連江縣第04選區,09007-04,1,605,張永江,中國國民黨,,,,1
2022,金門縣,金門縣 烈嶼鄉,,2,1529,洪成發,中國國民黨,1000,吳嘉將,529,3
2022,金門縣,金門縣 烏坵鄉・金城鎮・金寧鄉,,10,1468,唐麗輝,無黨籍,1687,楊永立,-219,16
2022,金門縣,金門縣 金沙鎮・金湖鎮,,7,1695,蔡水游,無黨籍,1464,吳佩雯,231,13
2018,金門縣,金門縣第01選區,09020-01,10,1464,李養生,無黨籍,1264,翁銘駿,200,20
2018,金門縣,金門縣第02選區,09020-02,6,1782,蔡春生,中華民族致公黨,1767,謝東龍,15,13
2018,金門縣,金門縣第03選區,09020-03,2,1952,洪鴻斌,無黨籍,,,,2
2022,雲林縣,雲林縣 二崙鄉・崙背鄉・西螺鎮,,6,6022,鄭玲惠,民主進步黨,5147,梁銘忠,875,7
2022,雲林縣,雲林縣 元長鄉・土庫鎮・虎尾鎮・褒忠鄉,,9,4739,林文彬,民主進步黨,4132,蔡秋敏,607,14
2022,雲林縣,雲林縣 北港鎮・口湖鄉・水林鄉,,5,6697,蕭慧敏,無黨籍,5214,林哲凌,1483,7
2022,雲林縣,雲林縣 古坑鄉・大埤鄉・斗南鎮,,6,4622,王秋足,中國國民黨,4565,吳錦凉,57,12
2022,雲林縣,雲林縣 四湖鄉・東勢鄉・臺西鄉・麥寮鄉,,7,5246,林深,中國國民黨,5019,陳清圳,227,11
2022,雲林縣,雲林縣 斗六市・林內鄉・莿桐鄉,,10,5221,陳芳盈,無黨籍,5106,周秀月,115,18
2014,雲林縣,雲林縣第01選區,10009-01,9,6393,周秀月,民主進步黨,5373,邱世文,1020,14
2018,雲林縣,雲林縣第01選區,10009-01,10,5216,李建志,無黨籍,4278,周秀月,938,17
2014,雲林縣,雲林縣第02選區,10009-02,6,5550,王秋足,中國國民黨,3981,沈銘恭,1569,11
2018,雲林縣,雲林縣第02選區,10009-02,6,6887,顏忠義,無黨籍,3433,黃忠興,3454,10
2014,雲林縣,雲林縣第03選區,10009-03,9,4959,陳瑞雄,中國國民黨,4753,張麗華,206,17
2018,雲林縣,雲林縣第03選區,10009-03,8,5375,黃美瑤,無黨籍,5339,陳瑞雄,36,17
2014,雲林縣,雲林縣第04選區,10009-04,6,5884,王鐵道,無黨籍,5409,廖朝魁,475,10
2018,雲林縣,雲林縣第04選區,10009-04,6,4939,廖萬,民主進步黨,4673,廖錦珠,266,11
2014,雲林縣,雲林縣第05選區,10009-05,7,5503,林建鴻,無黨籍,5024,鄭東來,479,11
2018,雲林縣,雲林縣第05選區,10009-05,7,4424,黃淑鈴,民主進步黨,4088,蔡昌孟,336,11
2014,雲林縣,雲林縣第06選區,10009-06,6,5930,黃勝賢,無黨籍,5442,蕭慧敏,488,8
2018,雲林縣,雲林縣第06選區,10009-06,6,5738,蕭慧敏,無黨籍,5360,王新堯,378,9
2022,高雄市,高雄市 三民區,,7,12389,曾俊傑,中國國民黨,11379,林武忠,1010,13
2022,高雄市,高雄市 仁武區・大樹區・大社區・鳥松區,,5,10142,黃飛鳳,民主進步黨,9051,張惟晴,1091,13
2022,高雄市,高雄市 內門區・六龜區・旗山區・杉林區…,,3,15790,朱信強,無黨團結聯盟,14289,林慧欣,1501,4
2022,高雄市,高雄市 前金區・新興區・苓雅區,,5,15244,黃紹庭,中國國民黨,10874,吳益政,4370,8
2022,高雄市,高雄市 前鎮區・小港區,,8,10826,黃彥毓,民主進步黨,10601,黃雍琇,225,17
2022,高雄市,高雄市 大寮區・林園區,,4,13203,黃天煌,中國國民黨,12918,韓賜村,285,10
2022,高雄市,高雄市 岡山區・彌陀區・梓官區・橋頭區…,,5,16140,陸淑美,中國國民黨,15741,陳慶鴻,399,8
2022,高雄市,高雄市 左營區・楠梓區,,9,12005,陳玫娟,中國國民黨,11480,黃偵琳,525,20
2022,高雄市,高雄市 旗津區・鹽埕區・鼓山區,,4,17934,蔡金晏,中國國民黨,5519,劉家榮,12415,5
2022,高雄市,高雄市 湖內區・田寮區・茄萣區・路竹區…,,3,15959,陳明澤,民主進步黨,9007,鄭東元,6952,5
2022,高雄市,高雄市 鳳山區,,8,12563,鄭安秝,中國國民黨,10718,蘇致榮,1845,15
2014,高雄市,高雄市第01選區,64000-01,3,14325,劉馨正,中國國民黨,13982,蕭育穎,343,5
2018,高雄市,高雄市第01選區,64000-01,3,15447,林義迪,中國國民黨,15179,鍾盛有,268,6
2014,高雄市,高雄市第02選區,64000-02,3,20236,張文瑞,民主進步黨,11701,蘇琦莉,8535,4
2018,高雄市,高雄市第02選區,64000-02,3,18183,陳明澤,民主進步黨,10355,鄭東元,7828,6
2014,高雄市,高雄市第03選區,64000-03,5,17650,陸淑美,中國國民黨,10318,蔡金河,7332,8
2018,高雄市,高雄市第03選區,64000-03,5,19354,宋立彬,中國國民黨,16941,陳政聞,2413,7
2014,高雄市,高雄市第04選區,64000-04,8,13975,周鍾,中國國民黨,13685,藍星木,290,12
2018,高雄市,高雄市第04選區,64000-04,8,14943,黃文志,民主進步黨,9549,孫健萍,5394,18
2014,高雄市,高雄市第05選區,64000-05,5,13691,林芳如,民主進步黨,12494,吳利成,1197,9
2018,高雄市,高雄市第05選區,64000-05,5,14954,邱俊憲,民主進步黨,12139,林芳如,2815,10
2014,高雄市,高雄市第06選區,64000-06,4,15819,陳美雅,中國國民黨,14848,連立堅,971,8
2018,高雄市,高雄市第06選區,64000-06,4,16764,簡煥宗,民主進步黨,8779,蔡宜芳,7985,11
2014,高雄市,高雄市第07選區,64000-07,8,11899,黃淑美,台灣團結聯盟,10643,童燕珍,1256,16
2018,高雄市,高雄市第07選區,64000-07,8,13652,鄭孟洳,民主進步黨,12267,陳柏惟,1385,12
2014,高雄市,高雄市第08選區,64000-08,6,14995,黃紹庭,中國國民黨,13363,楊定國,1632,9
2018,高雄市,高雄市第08選區,64000-08,6,15293,吳益政,親民黨,14213,周玲妏,1080,9
2014,高雄市,高雄市第09選區,64000-09,8,13428,楊見福,無黨籍,11577,蘇炎城,1851,18
2018,高雄市,高雄市第09選區,64000-09,8,13022,張漢忠,民主進步黨,10605,蘇炎城,2417,16
2014,高雄市,高雄市第10選區,64000-10,8,14518,王聖仁,民主進步黨,11173,蔡武宏,3345,11
2018,高雄市,高雄市第10選區,64000-10,8,14296,林宛蓉,民主進步黨,13429,朱挺玗,867,17
2014,高雄市,高雄市第11選區,64000-11,3,15039,黃天煌,中國國民黨,15043,韓賜村,-4,8
2018,高雄市,高雄市第11選區,64000-11,4,15945,王耀裕,中國國民黨,15561,蔡昌達,384,9
