year,county,zone_label,zone_code,seats,min_win_votes,min_win_cand,min_win_party,max_lose_votes,max_lose_cand,margin,n_cand
2018,嘉義縣,嘉義縣第02選區,10010-02,7,6121,林淑完,民主進步黨,3221,賴朝崙,2900,9
2014,嘉義縣,嘉義縣第03選區,10010-03,5,6107,詹金繪,民主進步黨,3294,何佳容,2813,7
2018,嘉義縣,嘉義縣第03選區,10010-03,5,5052,劉宏文,無黨籍,3765,郭芳宜,1287,8
2014,嘉義縣,嘉義縣第04選區,10010-04,7,4335,姜梅紅,無黨籍,2343,陳永法,1992,9
2018,嘉義縣,嘉義縣第04選區,10010-04,7,3600,姜梅紅,無黨籍,3574,呂文正,26,11
2014,嘉義縣,嘉義縣第05選區,10010-05,3,7901,蔡信典,無黨籍,7526,翁聰賢,375,4
2018,嘉義縣,嘉義縣第05選區,10010-05,3,6086,黃金茂,無黨籍,5525,翁聰賢,561,5
2014,嘉義縣,嘉義縣第06選區,10010-06,7,3532,張貴忠,民主進步黨,,,,7
2018,嘉義縣,嘉義縣第06選區,10010-06,7,3522,詹黃素蓮,中國國民黨,3394,張貴忠,128,13
2022,基隆市,基隆市 七堵區,,4,4771,楊秀玉,親民黨,2285,林坤明,2486,6
2022,基隆市,基隆市 中山區,,4,3023,郭美秀,親民黨,2624,莊敬聖,399,8
2022,基隆市,基隆市 中正區,,4,3933,張顥瀚,民主進步黨,3808,張淵翔,125,6
2022,基隆市,基隆市 仁愛區,,4,3209,鄭文婷,民主進步黨,2528,莊榮欽,681,7
2022,基隆市,基隆市 信義區,,4,3781,何淑萍,中國國民黨,3333,江鑒育,448,7
2022,基隆市,基隆市 安樂區,,7,2983,秦鉦,中國國民黨,2178,莊錦田,805,15
2022,基隆市,基隆市 暖暖區,,3,3499,陳冠羽,無黨籍,1297,莫璦緁,2202,4
2014,基隆市,基隆市第01選區,10017-01,4,3636,徐莉莉,親民黨,3588,張淵翔,48,6
2018,基隆市,基隆市第01選區,10017-01,4,4407,張淵翔,中國國民黨,2483,江志強,1924,7
2014,基隆市,基隆市第02選區,10017-02,4,2573,何淑萍,中國國民黨,2343,林月琴,230,10
2018,基隆市,基隆市第02選區,10017-02,4,3647,陳宜,民主進步黨,3150,黃元良,497,7
2014,基隆市,基隆市第03選區,10017-03,3,3051,莊榮欽,中國國民黨,2887,藍正宗,164,11
2018,基隆市,基隆市第03選區,10017-03,4,3045,張芳麗,中國國民黨,2947,曾紀嚴,98,9
2014,基隆市,基隆市第04選區,10017-04,4,3479,宋瑋莉,中國國民黨,2085,莊敬聖,1394,7
2018,基隆市,基隆市第04選區,10017-04,4,3960,張秉鈞,民主進步黨,3630,施偉政,330,7
